	longitude	latitude	depth	mag	years	months	days	hours	minutes	seconds	author
94	43.4202	42.5585	12	102	2006	02	07	16	17	24	TIF
95	43.4628	42.5737	12	99	2006	02	08	03	45	23	TIF
96	42.8078	42.0820	17	177	2006	02	08	04	14	19	TIF
97	43.4012	42.5940	10	279	2006	02	08	04	47	29	TIF
98	44.0868	41.3907	7	212	2006	02	08	07	03	38	TIF
99	44.4553	41.3430	3	113	2006	02	08	12	56	05	TIF
100	43.5007	42.5395	10	99	2006	02	08	13	26	38	TIF
101	43.4742	42.5920	13	122	2006	02	09	00	11	23	TIF
102	43.4267	42.5302	8	103	2006	02	10	09	56	38	TIF
103	43.4538	42.6073	12	105	2006	02	10	13	58	30	TIF
104	43.4335	42.5508	10	108	2006	02	11	00	28	16	TIF
105	43.4937	42.5643	13	178	2006	02	11	01	39	59	TIF
106	43.4538	42.5855	14	99	2006	02	11	04	17	32	TIF
107	43.4088	42.5563	11	124	2006	02	11	06	54	47	TIF
108	43.4357	42.5920	13	181	2006	02	11	08	15	49	TIF
109	40.1164	43.5358	35	0	1997	06	13	21	10	18	ISC
110	44.0787	41.3593	14	192	2006	02	12	04	08	52	TIF
111	43.4220	42.5450	8	106	2006	02	12	12	31	44	TIF
112	43.9668	41.3113	15	203	2006	02	12	14	36	22	TIF
113	45.5615	42.1512	16	234	2006	02	12	16	39	54	TIF
114	43.4783	42.5920	12	227	2006	02	12	23	08	10	TIF
115	43.4643	42.6157	15	123	2006	02	13	04	06	45	TIF
116	43.4120	42.6148	17	212	2006	02	13	21	01	37	TIF
117	43.4308	42.5205	12	116	2006	02	15	01	43	44	TIF
118	43.3880	42.5513	10	131	2006	02	16	04	21	56	TIF
119	45.6122	42.1715	16	269	2006	02	16	21	46	36	TIF
120	45.2377	42.4193	15	217	2006	02	17	07	50	31	TIF
121	45.0965	42.5255	11	256	2006	02	19	00	57	35	TIF
122	46.0647	43.2190	11	285	2006	02	19	20	24	34	TIF
123	44.0708	41.3368	17	136	2006	02	20	15	25	36	TIF
124	48.1601	41.8008	43	1	1997	06	28	06	45	01	ISC
125	48.5727	40.6261	28	2	1997	07	08	06	11	16	ISC
126	46.0279	43.1211	12	1	1997	07	12	22	02	10	ISC
127	44.9554	41.1473	0	0	1997	07	18	07	33	54	ISC
128	48.2262	44.8428	10	1	2007	01	01	17	04	10	ISC
129	44.6865	41.9520	9	189	2007	01	02	03	12	11	TIF
130	47.7280	43.0380	15	3.8	2007	01	03	15	05	54	MOS
131	47.7070	42.6540	25	4.1	2007	01	03	19	37	41	MOS
132	47.2810	42.8120	10	4.2	2007	01	03	18	20	19	MOS
133	46.0000	42.5300	22	3.8	2007	01	03	20	23	35	MOS
134	43.5712	42.3750	19	3.7	2007	01	06	18	46	36	TIF
135	48.6202	42.5692	16	0	2007	01	11	03	58	31	ISC
136	44.3310	43.8840	17	3.7	2007	01	12	13	18	26	MOS
137	44.9610	42.5070	14	3.7	2007	01	12	19	54	14	MOS
138	45.7020	42.9180	30	3.7	2007	01	14	01	34	58	MOS
139	45.7700	42.9170	27	3.8	2007	01	14	01	49	05	MOS
140	46.8540	43.1020	23	3.7	2007	01	14	06	50	27	MOS
141	46.0430	42.6140	21	3.7	2007	01	14	22	13	15	MOS
142	42.8600	42.1530	20	3.6	2007	01	16	11	24	12	MOS
143	43.4190	42.6010	13	3.6	2007	01	16	15	23	58	MOS
144	47.9150	42.7500	22	3.9	2007	01	17	21	04	14	MOS
145	48.0930	42.7020	23	4.0	2007	01	17	21	06	39	MOS
146	43.4615	41.4052	10	4.1	2007	01	18	00	08	19	TIF
147	45.8320	42.5380	22	3.7	2007	01	18	21	09	05	MOS
148	43.6800	42.6590	22	3.7	2007	01	19	07	10	16	MOS
149	43.7100	42.6120	26	3.6	2007	01	19	07	26	04	MOS
150	45.1660	43.6070	16	3.6	2007	01	20	21	07	35	MOS
151	46.4880	42.6330	36	4.0	2007	01	20	12	20	19	MOS
152	46.1170	43.3857	3	0	2007	01	20	14	37	34	ISC
153	45.7250	42.6490	16	3.7	2007	01	20	15	02	11	MOS
154	43.9290	44.0900	21	3.9	2007	01	20	16	54	50	MOS
155	48.3940	42.7830	13	4.1	2007	01	21	20	16	08	MOS
156	47.9692	43.0508	9	0	2007	01	22	03	14	29	ISC
157	46.4740	43.2050	81	4.0	2007	01	22	14	10	49	MOS
158	46.5560	42.9650	69	4.0	2007	01	22	06	10	53	MOS
159	44.2740	43.2750	14	4.0	2007	01	23	20	23	11	MOS
160	41.2220	41.6210	7	3.3	2007	01	23	12	29	16	ISK
161	43.7340	43.8390	30	3.7	2007	01	25	02	01	59	MOS
162	41.0200	43.4200	15	3.8	2007	01	25	07	21	22	MOS
163	40.0555	38.7121	11	0	2007	01	26	08	20	37	ISC
164	44.2360	42.4080	26	3.8	2007	01	26	12	16	19	MOS
165	43.1660	43.5060	14	3.8	2007	01	27	03	04	04	MOS
166	48.3030	42.4020	34	3.9	2007	01	27	22	24	11	MOS
167	45.5050	43.6430	24	3.9	2007	01	28	01	06	28	MOS
168	43.9710	43.1230	10	3.6	2007	01	28	15	13	23	MOS
169	44.3040	43.5330	11	3.7	2007	01	28	19	43	00	MOS
170	44.2470	43.4110	11	3.6	2007	01	28	20	10	32	MOS
171	45.8920	42.4560	23	3.6	2007	01	28	23	50	35	MOS
172	43.5500	42.6100	14	3.6	2007	01	29	08	18	23	MOS
173	44.0020	43.0570	15	3.6	2007	01	29	12	14	41	MOS
174	45.5890	43.4110	16	3.6	2007	01	31	05	11	29	MOS
175	44.9170	43.1640	12	3.6	2007	01	31	05	40	39	MOS
176	41.8871	44.5258	3	0	1997	09	09	17	34	52	ISC
177	44.0987	41.3128	14	208	2006	04	11	15	21	50	TIF
178	44.3960	41.4125	13	244	2006	04	13	23	28	09	TIF
179	44.3985	41.3832	4	299	2006	04	14	09	37	39	TIF
180	44.3052	41.3832	8	312	2006	04	20	11	17	09	TIF
181	45.3747	41.5452	9	223	2006	04	22	01	39	16	TIF
182	45.6020	42.1993	7	292	2006	04	23	12	54	12	TIF
183	43.9178	41.3133	4	204	2006	04	23	21	15	53	TIF
184	44.1053	41.3873	7	323	2006	04	24	00	26	18	TIF
185	44.1023	41.3885	14	181	2006	04	24	18	12	15	TIF
186	45.7237	41.9767	16	288	2006	04	25	06	08	50	TIF
187	45.8135	42.0027	18	295	2006	04	25	13	22	33	TIF
188	45.7355	41.9688	16	278	2006	04	25	13	24	09	TIF
189	43.8820	41.3568	9	194	2006	04	26	17	32	27	TIF
190	44.4168	41.3675	5	271	2006	04	27	09	55	17	TIF
191	44.1548	41.8200	3	186	2006	04	28	12	12	28	TIF
192	44.2260	41.7590	9	166	2006	04	29	23	29	56	TIF
193	44.4168	41.3663	4	190	2006	04	30	13	56	18	TIF
194	44.3328	41.4362	8	275	2006	05	01	00	04	36	TIF
195	44.3193	41.4620	8	144	2006	05	01	04	36	55	TIF
196	44.3992	41.3557	6	302	2006	05	01	10	07	28	TIF
197	44.4323	41.3607	4	144	2006	05	03	12	33	03	TIF
198	44.0362	41.3832	7	183	2006	05	03	22	13	11	TIF
199	43.9770	41.3100	9	203	2006	05	04	05	50	26	TIF
200	44.4685	41.3550	4	115	2006	05	05	09	38	20	TIF
201	43.9555	41.3740	9	187	2006	05	05	16	48	53	TIF
202	46.0758	42.9333	20	323	2006	05	06	20	47	27	TIF
203	43.5345	42.5473	8	183	2006	05	07	04	14	30	TIF
204	45.2227	43.7473	24	300	2006	05	08	10	34	21	TIF
205	43.5338	42.5920	11	265	2006	05	08	23	30	03	TIF
206	44.1113	41.4118	9	118	2006	05	09	18	59	19	TIF
207	43.4923	42.5317	10	153	2006	05	10	00	05	44	TIF
208	44.4532	41.3627	4	191	2006	05	10	13	15	57	TIF
209	44.0928	41.6732	19	79	2006	05	10	22	01	44	TIF
210	44.1157	41.6287	17	191	2006	05	10	23	33	26	TIF
211	45.3775	41.3847	18	246	2006	05	13	06	50	21	TIF
212	43.5503	41.5595	3	160	2006	05	17	06	46	09	TIF
213	44.6633	41.4245	3	165	2006	05	18	11	01	32	TIF
214	45.9600	41.6972	12	319	2006	05	20	00	05	58	TIF
215	43.6143	42.4283	15	203	2006	05	21	21	28	37	TIF
216	43.9755	41.3295	12	199	2006	05	22	03	52	03	TIF
217	44.0110	41.3742	9	187	2006	05	23	23	00	31	TIF
218	44.1088	41.3832	5	183	2006	05	23	23	27	47	TIF
